CNN,PDP,Area,Label
78,870.0,4420000.0,set1
81,870.0483308816534,4419982.693986108,set1
81,870.1078995849083,4420040.772409997,set1
80,870.2313856534643,4420124.655784519,set1
80,870.1758722586612,4420094.328638658,set1
78,870.1662242974568,4420283.610359853,set1
80,869.591797069809,4420201.520455968,set1
79,870.7655973242503,4419905.202765752,set1
78,870.329427726463,4419904.112120952,set1
79,869.2288376890334,4420079.571339369,set1
80,871.0151265745557,4419560.540337568,set1
79,869.9456089842693,4420489.211728709,set1
78,870.7372254747354,4420238.732629131,set1
81,869.1201142324417,4419732.413732187,set1
78,871.2434528476757,4419718.995398659,set1
80,870.2647118981978,4419868.703201981,set1
79,870.8814138134157,4420671.419338979,set1
78,868.5080473284,4420125.691504993,set1
79,868.8573124944797,4420751.53777714,set1
78,870.2927836023431,4420066.401657517,set1
79,869.80077529108,4420193.850645114,set1
81,869.3011453034406,4419365.799918405,set1
79,870.3944024650418,4420164.569760599,set1
78,870.0532852180635,4421198.162618577,set1
80,871.173283787449,4419423.263629289,set1
79,871.2820834423839,4419414.602008213,set1
78,866.9245578659568,4419913.506820622,set1
78,868.8665610961615,4419742.421954988,set1
81,870.2344368051336,4420699.559902695,set1
80,867.1831523746513,4419134.350482241,set1
81,868.697450137731,4419577.636706836,set1
78,869.4518299131677,4419192.644621426,set1
78,869.9714025899314,4420137.77439664,set1
81,872.3137554224606,4419859.4953532,set1
81,870.3777338754173,4420033.531982975,set1
80,872.169402980619,4420092.691036586,set1
78,867.1096766602814,4419581.876177784,set1
81,871.4188639793607,4420422.755118744,set1
78,869.5053325493722,4419758.769199503,set1
81,869.9552798617685,4419646.431591931,set1
81,874.212100174674,4418938.487062139,set1
81,870.2125059834132,4419436.6271274295,set1
79,872.266282022602,4420358.184500864,set1
80,868.7121529564263,4420784.473866108,set1
80,871.3358233304962,4422059.930763299,set1
79,869.8115602293876,4421584.024950134,set1
79,872.3446641733559,4418370.183718644,set1
80,868.8570394356117,4418102.075610469,set1
78,866.9197139367499,4421979.255432825,set1
80,871.4741674119604,4419900.785276335,set1
78,873.6568896724888,4419780.84812809,set1
78,869.7424072886331,4419364.464661993,set1
