CNN,PDP,Area,Label
81,910.0,4420000.0,set1
79,908.2675891001132,4418444.517393306,set1
79,897.8516790650433,4422745.922095801,set1
79,914.1954144926319,4422844.311675982,set1
81,907.7926695507406,4428839.712274635,set1
78,917.2628546962591,4416610.574511561,set1
78,913.6999659330792,4415968.160899854,set1
78,911.4171597224281,4414582.067383738,set1
79,912.3536759611519,4419469.34224113,set1
79,910.0,4420000.0,set1
83,910.0,4420000.0,set1
82,910.0080480479673,4419998.221555681,set1
82,909.7464464378887,4420024.169345535,set1
82,909.8285248239084,4420128.907656547,set1
83,910.1517488271702,4419741.348814837,set1
82,909.6458795555479,4420422.095405109,set1
82,909.7632299227814,4420043.114268393,set1
83,910.4865678221536,4419804.560883405,set1
83,910.1156735118345,4419807.068874277,set1
82,909.4747179713179,4420424.233515735,set1
83,910.0652669114709,4420318.346071161,set1
83,910.9115998812391,4418142.1206966685,set1
83,910.086109516442,4420127.703686026,set1
83,909.7732634505277,4419914.836144069,set1
83,908.5751945364574,4422035.469613836,set1
83,911.1408022925234,4417954.4820268685,set1
82,911.78440925471,4418444.631192699,set1
83,910.8189083128602,4421095.723060253,set1
83,907.5159670802133,4421311.259792757,set1
82,910.7311056996762,4421549.957139797,set1
82,908.2906789912412,4419861.21950846,set1
82,909.2121159504992,4422461.167239203,set1
82,910.163703926548,4421098.725244121,set1
83,909.8011378037762,4417053.566637428,set1
82,910.4652471016134,4418079.107270823,set1
83,909.6843767471402,4420499.638819401,set1
82,911.9782691219929,4421873.920543082,set1
82,907.5550358348868,4423253.347948174,set1
83,909.1572382539777,4419422.1390705425,set1
83,910.9257430193026,4424251.655756925,set1
82,908.1442104554217,4421005.07584646,set1
82,911.5184897849364,4417834.322350191,set1
83,911.018861320776,4417313.242587417,set1
82,912.565084424925,4420443.323498885,set1
83,911.6514943383195,4418616.9035246195,set1
83,910.2283307984163,4417655.475963237,set1
83,906.9719325966265,4419593.875160754,set1
83,906.091066119485,4422563.122940686,set1
82,907.5451314596409,4422904.031831007,set1
83,907.3744951868667,4418145.682543273,set1
82,908.2984941637719,4417843.717992978,set1
83,908.1445403824746,4421220.127960153,set1
83,908.1788591379626,4418537.021491738,set1
83,908.6734946803945,4419165.968849115,set1
83,913.8785853856832,4423793.159179083,set1
83,910.6294351258612,4415367.160398963,set1
83,909.5163701123923,4416497.852705025,set1
83,907.1874520386408,4417194.478362613,set1
82,910.1581331998489,4415510.245150491,set1
82,912.1723021593892,4419672.389867483,set1
83,908.343088436205,4421338.869906279,set1
82,910.4651412430985,4414560.302670859,set1
83,909.0418846011096,4422927.137516431,set1
82,907.4411956655271,4418376.085609902,set1
82,913.1342291917457,4424651.156647212,set1
83,907.7990724594011,4422692.383447651,set1
82,910.9985899219785,4421477.175138252,set1
83,911.1325401096153,4419542.598526068,set1
83,910.5892456816115,4425710.199736617,set1
83,910.5724575802486,4420751.393755398,set1
83,908.6909669797913,4421444.094588327,set1
83,914.0204882086745,4424796.38347928,set1
83,913.4964308867159,4424798.594791885,set1
82,907.6431139600877,4422715.09741971,set1
83,906.2235481762208,4413834.011122028,set1
83,912.8805369284136,4423743.876915271,set1
82,904.3750729158617,4415265.942694009,set1
82,907.351052613275,4416023.962076931,set1
82,907.0877373238086,4416805.499631609,set1
82,909.9314087454662,4417215.7734890655,set1
83,910.7708673384521,4413794.8875024775,set1
82,921.583806978488,4426542.7135176,set1
83,911.0250646857643,4429645.525476591,set1
82,910.8600891376494,4425824.573578609,set1
83,909.4666831481993,4416184.440111542,set1
82,904.7558843107657,4423894.9710142305,set1
83,907.6115078549648,4419915.16575549,set1
